Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1741863785872,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.921875,45.03139114379883,45.22353744506836,44.540077209472656,48.13456344604492,47.79006576538086,0,0,0,0,NaN,NaN,50,NaN,50,0,0,0,9.206049919128418,19327352832,1073741824,14152744960,316538880
204,1741863785872,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.921875,45.03139114379883,45.22353744506836,44.540077209472656,48.13456344604492,47.79006576538086,100,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,9.206049919128418,19327352832,1073741824,14152744960,316538880
204,1741863786077,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.921875,45.03139114379883,45.22353744506836,44.540077209472656,48.13456344604492,47.79006576538086,90,85,85.71428680419922,90,90,90,85.71428680419922,76.19047546386719,85.71428680419922,90.47618865966797,90.90909576416016,90.90909576416016,9.206049919128418,19327352832,1073741824,14144159744,316538880
204,1741863786282,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.921875,45.03139114379883,45.22353744506836,44.540077209472656,48.13456344604492,47.79006576538086,50,50,65,75,45.45454788208008,42.85714340209961,40,31.57894515991211,60.000003814697266,61.904762268066406,60.000003814697266,60.000003814697266,9.206049919128418,19327352832,1073741824,14144159744,316538880
199,1741863786487,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.390625,47.661582946777344,48.18303298950195,47.1434326171875,51.921180725097656,51.51488494873047,30.000001907348633,20,0,19.047618865966797,10.526315689086914,5,5,9.090909004211426,5,10.526315689086914,10,30.000001907348633,9.206049919128418,19327352832,1073741824,14144159744,316538880
204,1741863786687,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.390625,47.661582946777344,48.18303298950195,47.1434326171875,51.921180725097656,51.51488494873047,80,61.904762268066406,5,40,40,23.809524536132813,10,0,5.263157844543457,50,5,36.842105865478516,9.206049919128418,19327352832,1073741824,14144159744,316538880
204,1741863786893,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.390625,47.661582946777344,48.18303298950195,47.1434326171875,51.921180725097656,51.51488494873047,57.142860412597656,40,0,35,20,10,5,9.523809432983398,9.090909004211426,20,0,23.809524536132813,8.58629035949707,19327352832,1073741824,14144159744,316538880
202,1741863787098,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.390625,47.661582946777344,48.18303298950195,47.1434326171875,51.921180725097656,51.51488494873047,60.000003814697266,50,0,19.047618865966797,28.571430206298828,15.000000953674316,14.285715103149414,5,0,19.047618865966797,0,14.285715103149414,8.58629035949707,19327352832,1073741824,16188178432,316538880
204,1741863787300,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.390625,47.661582946777344,48.18303298950195,47.1434326171875,51.921180725097656,51.51488494873047,52.6315803527832,45,10,31.57894515991211,35,19.047618865966797,10,10,15.789472579956055,33.333335876464844,15.000000953674316,36.842105865478516,8.58629035949707,19327352832,1073741824,16201760768,316538880
200,1741863787505,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52,47.06678771972656,48.24519348144531,46.1650276184082,51.70927810668945,51.15645980834961,38.095237731933594,30.000001907348633,4.545454502105713,4.761904716491699,19.047618865966797,5.263157844543457,5,9.523809432983398,9.523809432983398,10,4.761904716491699,9.523809432983398,8.58629035949707,19327352832,1073741824,16201760768,316538880
