Metric Name,Prompt,Value,Elapsed Time
CPU Energy (J),hi,2.8091161251068115,1.593022346496582
CPU Energy (J),I am yongcheng,3.915605878829956,2.1753365993499756
CPU Energy (J),I am handsome,11.608765411376954,3.2246570587158203
CPU Energy (J),Yongcheng is stupper handsome,61.13500831604004,4.717207431793213
GPU Energy (J),hi,84.55283474564553,1.593022346496582
GPU Energy (J),I am yongcheng,118.29697960925103,2.1753365993499756
GPU Energy (J),I am handsome,166.60513159561157,3.2246570587158203
GPU Energy (J),Yongcheng is stupper handsome,246.8608993206024,4.717207431793213
RAM Energy (J),hi,17.03747589209466,1.593022346496582
RAM Energy (J),I am yongcheng,23.69661386882534,2.1753365993499756
RAM Energy (J),I am handsome,35.20396666154141,3.2246570587158203
RAM Energy (J),Yongcheng is stupper handsome,51.273679294647245,4.717207431793213
Total Energy (J),hi,104.399426762847,1.593022346496582
Total Energy (J),I am yongcheng,145.90919935690633,2.1753365993499756
Total Energy (J),I am handsome,213.41786366852995,3.2246570587158203
Total Energy (J),Yongcheng is stupper handsome,359.2695869312897,4.717207431793213
Carbon Emissions (gCO2),hi,0.010874940287796562,1.593022346496582
Carbon Emissions (gCO2),I am yongcheng,0.015198874933011076,2.1753365993499756
Carbon Emissions (gCO2),I am handsome,0.02223102746547187,3.2246570587158203
Carbon Emissions (gCO2),Yongcheng is stupper handsome,0.03742391530534268,4.717207431793213
CPU Energy (J),hi! I am back,11.501126003265382,3.219672441482544
GPU Energy (J),hi! I am back,168.45635361838342,3.219672441482544
RAM Energy (J),hi! I am back,36.96943868836354,3.219672441482544
Total Energy (J),hi! I am back,216.92691831001233,3.219672441482544
Carbon Emissions (gCO2),hi! I am back,0.022596553990626284,3.219672441482544
CPU Energy (J),"Yo, how is going. YongCheng here",3.7673957519531256,2.4794445037841797
CPU Energy (J),I am yongcheng and I love TU Delft. I feel extremely happy,0.427214584350586,2.2250759601593018
CPU Energy (J),"Just joking, I am suffering",4.495431060791015,3.9022839069366455
CPU Energy (J),thank yoU!,2.2965585479736332,1.3290269374847412
GPU Energy (J),"Yo, how is going. YongCheng here",117.94695763015747,2.4794445037841797
GPU Energy (J),I am yongcheng and I love TU Delft. I feel extremely happy,110.87108494281769,2.2250759601593018
GPU Energy (J),"Just joking, I am suffering",189.96708287358283,3.9022839069366455
GPU Energy (J),thank yoU!,47.07147607183456,1.3290269374847412
RAM Energy (J),"Yo, how is going. YongCheng here",15.651412901645978,2.4794445037841797
RAM Energy (J),I am yongcheng and I love TU Delft. I feel extremely happy,14.1457125818827,2.2250759601593018
RAM Energy (J),"Just joking, I am suffering",24.808405442697815,3.9022839069366455
RAM Energy (J),thank yoU!,8.480809427633641,1.3290269374847412
Total Energy (J),"Yo, how is going. YongCheng here",137.36576628375659,2.4794445037841797
Total Energy (J),I am yongcheng and I love TU Delft. I feel extremely happy,125.44401210905097,2.2250759601593018
Total Energy (J),"Just joking, I am suffering",219.27091937707166,3.9022839069366455
Total Energy (J),thank yoU!,57.84884404744183,1.3290269374847412
Carbon Emissions (gCO2),"Yo, how is going. YongCheng here",0.014308933987891312,2.4794445037841797
Carbon Emissions (gCO2),I am yongcheng and I love TU Delft. I feel extremely happy,0.01306708459469281,2.2250759601593018
Carbon Emissions (gCO2),"Just joking, I am suffering",0.022840720768444966,3.9022839069366455
Carbon Emissions (gCO2),thank yoU!,0.006025921254941857,1.3290269374847412
CPU Energy (J),yo,19.848067932128906,3.1502692699432373
CPU Energy (J),hi,13.733874389648436,1.277332067489624
GPU Energy (J),yo,159.32334833145143,3.1502692699432373
GPU Energy (J),hi,66.52856340312958,1.277332067489624
RAM Energy (J),yo,20.437245346589375,3.1502692699432373
RAM Energy (J),hi,8.348623783909483,1.277332067489624
Total Energy (J),yo,199.60866161016972,3.1502692699432373
Total Energy (J),hi,88.6110615766875,1.277332067489624
Carbon Emissions (gCO2),yo,0.020792568917726014,3.1502692699432373
Carbon Emissions (gCO2),hi,0.009230318914238282,1.277332067489624
CPU Energy (J),hola como te llamas?,6.137708660125733,2.683009624481201
CPU Energy (J),"de donde viene la pasta, responde brevemente",3.128840446472168,1.7782247066497803
GPU Energy (J),hola como te llamas?,0.0,2.683009624481201
GPU Energy (J),"de donde viene la pasta, responde brevemente",0.0,1.7782247066497803
RAM Energy (J),hola como te llamas?,15.871725498196426,2.683009624481201
RAM Energy (J),"de donde viene la pasta, responde brevemente",10.60013225950894,1.7782247066497803
Total Energy (J),hola como te llamas?,22.009434158322158,2.683009624481201
Total Energy (J),"de donde viene la pasta, responde brevemente",13.728972705981107,1.7782247066497803
Carbon Emissions (gCO2),hola como te llamas?,0.0022926493914918918,2.683009624481201
Carbon Emissions (gCO2),"de donde viene la pasta, responde brevemente",0.0014301013235396987,1.7782247066497803
