Metric Name,Prompt,Value,Elapsed Time
CPU Energy (J),yo,5.350177001953125,3.006042718887329
CPU Energy (J),Do a backflip,6.0630846405029315,2.1052377223968506
CPU Energy (J),hahahaha,3.8836405563354486,1.5411272048950195
CPU Energy (J),Yongcheng is smart,4.162411422729491,1.6517505645751953
CPU Energy (J),Yongcheng aka gangster,2.276482200622559,1.580890417098999
GPU Energy (J),yo,118.97010260009766,3.006042718887329
GPU Energy (J),Do a backflip,105.18609756183623,2.1052377223968506
GPU Energy (J),hahahaha,79.10914168167115,1.5411272048950195
GPU Energy (J),Yongcheng is smart,87.82357751846314,1.6517505645751953
GPU Energy (J),Yongcheng aka gangster,80.66335264205932,1.580890417098999
RAM Energy (J),yo,33.192289865263824,3.006042718887329
RAM Energy (J),Do a backflip,23.484399797032694,2.1052377223968506
RAM Energy (J),hahahaha,17.20996774383381,1.5411272048950195
RAM Energy (J),Yongcheng is smart,18.445313175257844,1.6517505645751953
RAM Energy (J),Yongcheng aka gangster,17.67282960595783,1.580890417098999
Total Energy (J),yo,157.51256946731462,3.006042718887329
Total Energy (J),Do a backflip,134.73358199937186,2.1052377223968506
Total Energy (J),hahahaha,100.20274998184041,1.5411272048950195
Total Energy (J),Yongcheng is smart,110.43130211645047,1.6517505645751953
Total Energy (J),Yongcheng aka gangster,100.6126644486397,1.580890417098999
Carbon Emissions (gCO2),yo,0.01640755931951194,3.006042718887329
Carbon Emissions (gCO2),Do a backflip,0.014034748124934568,2.1052377223968506
Carbon Emissions (gCO2),hahahaha,0.01043778645644171,1.5411272048950195
Carbon Emissions (gCO2),Yongcheng is smart,0.011503260637130256,1.6517505645751953
Carbon Emissions (gCO2),Yongcheng aka gangster,0.010480485880066637,1.580890417098999
CPU Energy (J),hhhhh,5.081108179092408,1.5881762504577637
CPU Energy (J),Co2,15.048024787902829,3.4833390712738037
CPU Energy (J),Good!,4.970909214019776,1.3808081150054932
CPU Energy (J),keep generating more and,4.8645282554626466,1.5013976097106934
GPU Energy (J),hhhhh,78.13458419966697,1.5881762504577637
GPU Energy (J),Co2,180.9559814136028,3.4833390712738037
GPU Energy (J),Good!,51.80239724254608,1.3808081150054932
GPU Energy (J),keep generating more and,74.85518062734604,1.5013976097106934
RAM Energy (J),hhhhh,17.643468672593457,1.5881762504577637
RAM Energy (J),Co2,39.230660358799064,3.4833390712738037
RAM Energy (J),Good!,15.55117462643248,1.3808081150054932
