Metric Name,Prompt,Value,Elapsed Time
CPU Energy (J),hi,6.2608815479278555,2.485473871231079
CPU Energy (J),Good night,3.6291151428222665,1.2601094245910645
CPU Energy (J),How is everything going?,4.051004133224486,1.6087405681610107
CPU Energy (J),"Good, good. I am doing some deadline stuff",4.605083541870118,1.598987340927124
CPU Energy (J),yes. Can you write a python fibbonaci function?,6.005038375854491,2.7801103591918945
GPU Energy (J),hi,100.1890116276741,2.485473871231079
GPU Energy (J),Good night,48.877124361038206,1.2601094245910645
GPU Energy (J),How is everything going?,90.9386126255989,1.6087405681610107
GPU Energy (J),"Good, good. I am doing some deadline stuff",83.71178425955773,1.598987340927124
GPU Energy (J),yes. Can you write a python fibbonaci function?,151.72730296325685,2.7801103591918945
RAM Energy (J),hi,23.84013549198681,2.485473871231079
RAM Energy (J),Good night,12.1515592733673,1.2601094245910645
RAM Energy (J),How is everything going?,15.482796233511653,1.6087405681610107
RAM Energy (J),"Good, good. I am doing some deadline stuff",15.400409824509506,1.598987340927124
RAM Energy (J),yes. Can you write a python fibbonaci function?,26.875515070109216,2.7801103591918945
Total Energy (J),hi,130.29002866758876,2.485473871231079
Total Energy (J),Good night,64.65779877722777,1.2601094245910645
Total Energy (J),How is everything going?,110.47241299233504,1.6087405681610107
Total Energy (J),"Good, good. I am doing some deadline stuff",103.71727762593736,1.598987340927124
Total Energy (J),yes. Can you write a python fibbonaci function?,184.60785640922057,2.7801103591918945
Carbon Emissions (gCO2),hi,0.013571877986207162,2.485473871231079
Carbon Emissions (gCO2),Good night,0.006735187372627892,1.2601094245910645
Carbon Emissions (gCO2),How is everything going?,0.0115075430200349,1.6087405681610107
Carbon Emissions (gCO2),"Good, good. I am doing some deadline stuff",0.010803883086035143,1.598987340927124
Carbon Emissions (gCO2),yes. Can you write a python fibbonaci function?,0.019229985042627143,2.7801103591918945
